"","rulename","ruledesign"
"48","Too Arid (All moist reg., excpt. Ustic, Udic, Xer","limitation"
"49","WLF - Upland Wild Herbaceous Plants","limitation"
"50","AGR - Vegetating Grassed Waterway/Diversion/Drains DRAFT","limitation"
"51","WMS - Tile Drains and Underground Outlets-AGR subrules","limitation"
"52","WMS - Constructing Grassed Waterways and Surface Drains","limitation"
"53","WMS - Constructing Terraces and Diversions","limitation"
"54","WMS - Irrigation (all application methods)","limitation"
"55","URB/REC - Camp Areas","limitation"
"56","URB/REC - Picnic Areas","limitation"
"57","URB/REC - Paths and Trails","limitation"
"58","URB/REC - Playgrounds","limitation"
"59","ISU Slope and Drainmod","limitation"
"60","ISU rule and eval","limitation"
"61","ISU version of pre-Jan 99 SRPG (National Draft)","limitation"
"62","URB/REC - Off-Road Motorcycle Trails","limitation"
"63","ENG - Construction Materials; Roadfill","suitability"
"64","T Factor - Hardbedrock","limitation"
"65","T Factor Prototype Draft","class"
"66","T Factor - Softbedrock","limitation"
"67","ENG - Construction Materials; Gravel Source","suitability"
"68","ENG - Construction Materials; Sand Source","suitability"
"69","AGR -  SQI","limitation"
"70","ENG - Construction Materials; Topsoil","suitability"
"71","FOR - Potential Fire Damage Hazard","limitation"
"72","ENG - Construction Materials; Reclamation","suitability"
"73","FOR - Potential Seedling Mortality","limitation"
"74","PRGM - General Crop Production Index (Alpha Test)","suitability"
"75","Surface Condition; Crop Index; Most Restrictive","limitation"
"76","AWM - Vermont Manure Stacking Site","limitation"
"77","WMS - Excavated Ponds (Aquifer-fed)","limitation"
"78","WMS - Embankments, Dikes, and Levees","limitation"
"79","PRGM-Soil Phosphorus Holding Potential, Unofficial Use Only","suitability"
"80","PRGM-Soil Phosphorus Holding Potential wo/Erosion (Draft)","suitability"
"81","FOR - Soil Rutting Hazarddce","limitation"
"82","AK3: ENG - Dwellings w/o Basements","limitation"
"83","jpm ENG - Construction Materials; Gravel Source","limitation"
"84","ENG - Construction Materials; Topsoil (AK)","suitability"
"85","ENG - Construction Materials; Roadfill (AK)","suitability"
"86","AK3: ENG - Dwellings with Basements","limitation"
"87","AK3: ENG - Sanitary Landfill (Trench)","limitation"
"88","AK3: ENG - Shallow Excavations","limitation"
"89","AK3: ENG - Lawn, Landscape, Golf Fairway","limitation"
"90","AK3: ENG - Local Roads and Streets","limitation"
"91","AK3: ENG - Sanitary Landfill (Area)","limitation"
"92","ENG - Daily Cover for Landfill (AK)","limitation"
"93","not used: REC - Off-Road ATV Trails (AK)","limitation"
"94","AK3: ENG - Small Commercial Buildings","limitation"
"95","ENG - Septic Tank Absorption Fields (AK)","limitation"
"96","ENG - Construction Materials; Sand Source (AK)","suitability"
"97","ENG - Construction Materials; Gravel Source (AK)","suitability"
"98","not used: REC - Paths and Trails (AK)","limitation"
"99","dark: FOR - Soil Rutting Hazard","limitation"
"100","Bob's Off-Road ATV Trails","limitation"
"101","not used: REC - Camp Areas (AK)","limitation"
"102","dark: URB/REC - Picnic Areas","limitation"
"103","REC - Playgrounds (AK)","limitation"
"104","REC - Camp and Picnic Areas (AK)","limitation"
"105","dark: Off-road atv trails","limitation"
"106","dark: Off-Road ATV Trails level 1","limitation"
"107","jpm ENG - Construction Materials; Sand Source","limitation"
"108","ENG - Sewage Lagoons (AK)","limitation"
"109","REC - Foot and ATV Trails (AK)","limitation"
"110","Puddling risk","limitation"
"111","compact - coarse","limitation"
"112","compact - fine","limitation"
"113","compact - medium","limitation"
"114","compaction risk","limitation"
"115","compact - coarsenull","limitation"
"116","FOR - Log Landing Suitability (OR)","limitation"
"117","FOR - Road Suitability (Natural Surface) (OR)","limitation"
"118","swift fox habitat","suitability"
"119","GRL-Northern Plains FSGs, DRAFT","limitation"
"120","PRGM - General Crop Production Index (minus precip Alpha Tes","limitation"
"121","Grain and Seed Crops","limitation"
"122","Grasses and Legumes","limitation"
"123","Wild Herbaceous Plants","limitation"
"124","Hardwood Trees","limitation"
"125","Coniferous Trees","limitation"
"126","Shrubs","limitation"
"127","Wetland Plants","limitation"
"128","Shallow Water Areas","limitation"
"129","FSG-AWC >9cm 0-60(Available Water Capacity)","limitation"
"130","FSG-Slope <=7%","limitation"
"131","FSG-AWC <5cm (Available Water Capacity)","limitation"
"132","122 ENG - Local Roads and Streets","limitation"
"133","ENG - Lawns, Landscapes, and Golf Fairways","limitation"
"134","122 Assigned T Factor","limitation"
"135","DE Irr. Disp. of Wastewater","limitation"
"136","DE-Shallow to Bedrock 50-100 cm","limitation"
"137","DE-Thin Cemented Pan 50 to 100cm (20 to 40"")","limitation"
"138","WQM - Pond Reservoir Area","limitation"
"139","Prairie Dog Habitat","limitation"
"140","AGR - Spring Wheat Yield (MT)","limitation"
"141","AGR - Oats Yield (MT)","limitation"
"142","AGR - Winter Wheat Yield (MT)","limitation"
"143","AGR - Barley Yield (MT)","limitation"
"144","Prime Farmland - Montana (Kw <3.0)","limitation"
"145","Prime Farmland - Montana (includes 2-prime if drained)","limitation"
"146","GRL - Fencing, 24 inch Post Depth (MT)","limitation"
"147","AGR - MT Construction; Grassed Waterways","limitation"
"148","AGR - MT Vegetating; Grassed Waterways and Filter Strips","limitation"
"149","MT FOR - Potential Erosion Hazard (Road/Trail)","limitation"
"150","FOR - Potential Windthrow Hazard (MI)","limitation"
"151","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (MI)","limitation"
"152","FOR - Road Suitability (Natural Surface) (OH)","limitation"
"153","FOR - Mechanical Site Preparation (Surface) (OH)","limitation"
"154","WMS - Drainage (OH)","limitation"
"155","(MI) P-Holding Potential wo/Runoff & Ponding & Wetness (draf","limitation"
"156","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (OH)","limitation"
"157","FOR - Harvest Equipment Operability (OH)","limitation"
"158","FOR - Construction Limitations - Haul Roads/Log Landing (OH)","limitation"
"159","NJ - Land Application of Municipal Sewage Sludge","limitation"
"160","TDT Frequent flooding","limitation"
"161","AWM - Waste Field Storage Area (VT)","limitation"
"162","VT Surface Runoff Class","class"
"163","VT Seepage (VT Tech Guide Notice 275)","class"
"164","CT-Infiltration Trench/Storm Water Runoff Control","limitation"
"165","CT-Passing #200 Sieve (Wt. Ave) 100 cm or Restritive Layer","limitation"
"166","NAPRA Leaching Index: Water Table-Type and Depth","limitation"
"167","AWM - Vermont Manure Stacking Site 2","limitation"
"168","5PICNIC AREA (eval)","limitation"
"169","3 picnic area (EVAL)","limitation"
"170","2 picnic area (eval)","limitation"
"171","1Picnic area (eval)","limitation"
"172","4picnic area(eval) pr","limitation"
"173","2 picnic area (child rule eval)","limitation"
"174","1Picnic area (sub rule)","limitation"
"175","3 picnic area (subrule EVAL AND)","limitation"
"176","5PICNIC AREA (eval sub-rule)","limitation"
"177","4picnic area(subrule) pr","limitation"
"178","5PICNIC AREA (AND sub-rule)","limitation"
"179","1 Drainage suitable soils","limitation"
"180","3 picnic area (subrule EVAL OR)","limitation"
"181","3 picnic area (subrule EVAL OR NOT)","limitation"
"182","2 picnic area not steep (child rule eval)","limitation"
"183","5PICNIC AREA (NOT sub-rule)","limitation"
"184","5PICNIC AREA (AND NOT sub-rule)","limitation"
"185","4picnic area(subrule - not steep) pr","limitation"
"186","3 picnic area (subrule EVAL AND NOT)","limitation"
"187","1picnic and wet steep","limitation"
"188","2 picnic (wet and steep)","limitation"
"189","3 NJ water comb. Wp and Wr","limitation"
"190","TDT Fruit Crop (Reaction)","limitation"
"191","4LHHBRIG","limitation"
"192","St Regis Small Fruit","limitation"
"193","3 NJ perm for horizons","limitation"
"194","VT 1996 Onsite Sewage Disposal (obsolete)","class"
"195","LHHBRIG","limitation"
"196","SEFSG-012: (Florida - effective rooting depth)","limitation"
"197","161 FSG-101 (Clayey Wet Soils)","limitation"
"198","GRL-MO15:Coastal Plain Forage Suit. Groups, E. Central","limitation"
"199","GRL-MO15: Northeast Forage Suitability Groups","limitation"
"200","GRL-MO15:Northern Plains FSGs, FFDays >140","limitation"
"201","ECFSG-MO15: 110 (Loams, =<7% slope)","limitation"
"202","FSG-MO15: Minimum Ksat >=0.2 in/hr, 0-20"" (rule)","limitation"
"203","GRL-MO15: Florida Forage Suit. Group #1","limitation"
"204","GRL-MO15: Florida Forage Suit. Group #2","limitation"
"205","FSG-Maximum Ksat <=0.6 in/hr, 20-40 inches","limitation"
"206","137 FSG-CaCO3 Equivalent RV <15%, 0-12 inches","limitation"
"207","137 FSG-CaCO3 Equivalent RV>=15%, 0-12 inches","limitation"
"208","137 GRL - Forage Suitability Groups, TEST","limitation"
"209","NPFSG-53CP  Claypan 6-9""AWC; 0-8% Slopes","limitation"
"210","FSG-Minimum Ksat >=2.0 in/hr, 0-40 inches","limitation"
"211","NPFSG-58CP  Claypan >9""AWC; >15-30% Slopes","limitation"
"212","NPFSG-57CP  Claypan >9""AWC; >8-15% Slopes","limitation"
"213","137 FSG-Water Table RV>48 & =<72 inches in Growing Season","limitation"
"214","NPFSG GROUP I FFDays 121-140,","limitation"
"215","NPFSG GROUP II FFDays 121-140,","limitation"
"216","137 GRL-Northern Plains FSGs, FFDays >140, DRAFT","limitation"
"217","NPFSG-54CP  Claypan 6-9""AWC; >8-15% Slopes","limitation"
"218","NPFSG-55CP  Claypan 6-9""AWC; >15-30% Slopes","limitation"
"219","NPFSG-56CP  Claypan >9""AWC; 0-8% Slopes","limitation"
"220","OK-Runoff","limitation"
"221","OK-Runoff 2nd test","limitation"
"222","PRGM - SRPG (Oklahoma Draft) Alpha Test","limitation"
"223","OK Landscape - Weathering Features DRAFT","limitation"
"224","OK Bulk Density Preliminary Draft (Surface Componet of SRPG)","limitation"
"225","PRGM - SRPG1 (Oklahoma Draft) Alpha Test","limitation"
"226","117 FOR (MI) - Construction Limitations for Haul Roads","limitation"
"227","SEM picnic area","limitation"
"228","117 FOR (MI) - Logging Areas & Skid Roads - Pref.","limitation"
"229","jc-picnic","limitation"
"230","Mickey's picnic area","limitation"
"231","wep picnic area","limitation"
"232","bill picnic area","limitation"
"233","ken picnic area eval","limitation"
"234","ken water table","limitation"
"235","ken slope","limitation"
"236","DJH-picnicR","limitation"
"237","117 FOR (MI) - Log Landing Suitability","limitation"
"238","117 FOR (MI) - Construction Limitations for Haul Roads - Pre","limitation"
"239","117 FOR (MI) - Log Landing Suitability - Pref.","limitation"
"240","Mickey's picnic area Eval","limitation"
"241","wep picnic area eval","limitation"
"242","DJH-picnicR-eval","limitation"
"243","jc-picnic-eval","limitation"
"244","SEM picnic area eval","limitation"
"245","SEM OPR limits","limitation"
"246","bill picnic area eval","limitation"
"247","1subgrade lift","limitation"
"248","117 FOR (MI) - Potential Windthrow Hazard","limitation"
"249","117 FOR (MI) - Potential Erosion Hazard (Off-Road/Off-Trail)","limitation"
"250","ENG - Construction Materials; Gravel Source lld","limitation"
"251","Percent Passing the #4 Sieve (Bottom Layer)dts","limitation"
"252","Percent Passing the #4 Sieve (Thickest Layer)dts","limitation"
"253","Gravel Bottom Layer dts","limitation"
"254","Gravel Thickest Layer dts","limitation"
"255","ENG - Construction Materials; Gravel Source dts","limitation"
"256","bob's picnic","limitation"
"257","John picnic area","limitation"
"258","test picnic","limitation"
"259","Ray's picnic rule","limitation"
"260","my picnic areas","limitation"
"261","picnic rule","limitation"
"262","bob's picnic (eval)","limitation"
"263","test picnic (eval)","limitation"
"264","John picnic area (eval)","limitation"
"265","Ray' picnic (eval)","limitation"
"266","picnic rule (eval)","limitation"
"267","my picnic areas eval","limitation"
"268","CEM -","limitation"
"269","MPCA-Interp for Standard Trench Septic Systems","limitation"
"270","ENG - Construction Materials; Sand and Gravel Source","limitation"
"271","Ksat <= .54 um/s 0-50 cm","limitation"
"272","Ksat >= .55 um/s <= 5.4 um/s 0-50 cm","limitation"
"273","Slopes > 15%","limitation"
"274","Ksat >= 55 um/s 0-50 cm","limitation"
"275","PM 2.5 SOURCE POTENTIAL","limitation"
"276","picnic - 3","limitation"
"277","Picnic (6)","limitation"
"278","Soil Runoff Solution Potential","limitation"
"279","Soil Adsorbed Runoff Potential","limitation"
"280","Hydrologic Group B & Slopes > 15%","limitation"
"281","Hydrologic Group A & Slopes > 15%","limitation"
"282","Soil Leaching Potential","limitation"
"283","HSG B, O.M. x Horizon 1 >= 45, Kw >= .20","limitation"
"284","HSG B, O.M. x Horizon 1 < 35, Kw < .40","limitation"
"285","1Shrink-Swell (LEI Thickest Layer Above Bedrock or to 60"")","limitation"
"286","Corrosion by sulfates (aridic)","limitation"
"287","HSG - Hydrologic Soil Group (draft) - MO2","limitation"
"288","HSG - Hydrologic Soil Group (draft) - Hawaii","limitation"
"289","113 Oregon - Construction Materials; Topsoil","limitation"
"290","AGR - California Irrigated Cropland Limitations","limitation"
"291","WLF -  Irrigated Saline Water Wetland Plants","limitation"
"292","VEG-Slopes, 0 to 60% - MO2","limitation"
"293","WLF - 2nd DRAFT Irrigated Saline Water Wetland Plants DRAFT","limitation"
"294","Permeability Class - Impermeable","limitation"
"295","Permeability Class - Very Slow","limitation"
"296","Permeability Class - Very Slow to Slow","limitation"
"297","Permeability Class - Mod. Slow/Mod.","limitation"
"298","Perm. Class Mod./Mod. Rapid/Rapid","limitation"
"299","Perm. Class Rapid/Very Rapid","limitation"
"300","Slope for Runoff Class","limitation"
"301","Ksat Min. 0-50 cm - Runoff","limitation"
"302","Ksat. Min. 50-150 cm - Runoff","limitation"
"303","Hydrologic Soil Group A","limitation"
"304","Hydrologic Soil Group B","limitation"
"305","Hydrologic Soil Group C","limitation"
"306","Hydrologic Soil Group D","limitation"
"307","SLC: Seeding-No horizon data","limitation"
"308","WMS - Embankments, Dikes, and Levees MO-3","limitation"
"309","SLC: Seeding, Miscellaneous area","limitation"
"310","154 AGR - CLAY ACTIVITY(0.05-0.15 meql/g), 0 to 50cm","limitation"
"311","TN Fertilizer response","limitation"
"312","VA - Septic Tank In-Ground Effluent","limitation"
"313","FOR - Harvest Equipment Operability, MO13","limitation"
"314","RTF-Slope Range Values (AWM)","limitation"
"315","MIL - Trafficability Veh. Type 1 50-passes wet season","suitability"
"316","MIL - Trafficability Veh. Type 2 1-pass wet season","suitability"
"317","MIL - Trafficability Veh. Type 2 50-passes wet season","suitability"
"318","MIL - Trafficability Veh. Type 3 1-pass wet season","suitability"
"319","MIL - Trafficability Veh. Type 3 50-passes wet season","suitability"
"320","MIL - Trafficability Veh. Type 4 1-pass wet season","suitability"
"321","MIL - Trafficability Veh. Type 4 50-passes wet season","suitability"
"322","MIL - Trafficability Veh. Type 5 1-pass wet season","suitability"
"323","MIL - Trafficability Veh. Type 6 1-pass wet season","suitability"
"324","MIL - Trafficability Veh. Type 5 50-passes wet season","suitability"
"325","MIL - Trafficability Veh. Type 6 50-passes wet season","suitability"
"326","MIL - Trafficability Veh. Type 7 1-pass wet season","suitability"
"327","MIL - Trafficability Veh. Type 7 50-passes wet season","suitability"
"328","MIL - Trafficability Veh. Type 1 1-pass wet season","suitability"
"329","RTF-Flooding Potential (AWM)","limitation"
"330","RTF-Ponding Potential (AWM)","limitation"
"331","RTF-Water Table Depth (ft) (AWM)","limitation"
"332","RTF-Depth to Bedrock (in) (AWM)","limitation"
"333","RTF-Surface Stones & Cobbles (%) (AWM)","limitation"
"334","RTF-Hydrologic Group (AWM)","limitation"
"335","101 FOR - Potential Erosion Hazard (Road/Trail)","limitation"
"336","FOR - Road Impact to Watershed -116","limitation"
"337","FOR - Road Maintainence -116","limitation"
"338","FOR - Road Impact to Watershed v2-116","limitation"
"339","SEPTIC BEDROCK -child","limitation"
"340","JDC - Depth to bedrock -116","limitation"
"341","1SRPG (Arkansas Draft)","limitation"
"342","1SRPG (National Draft)","limitation"
"343","1Climate DRAFT","limitation"
"344","AWM - Animal Mortality Disposal (Catastrophic) (AR)","limitation"
"345","RTF-AMD Depth to Seasonal HWT","limitation"
"346","ENG - Septic Tank Absorption Field (Standard) (AR)","limitation"
"347","RTF-Flooding >=1 mo. Freq.","limitation"
"348","RTF-Flooding >=1 mo. Occas.","limitation"
"349","ENG - Sewage Lagoons (AR)","limitation"
"350","ENG - Dwellings with basements (AR)","limitation"
"351","RTF-Flooding (Review before using)","limitation"
"352","ENG - Small commercial buildings (AR)","limitation"
"353","ENG - Local roads and streets (AR)","limitation"
"354","ENG - Shallow excavations (AR)","limitation"
"355","ENG - Roadfill (AR)","limitation"
"356","RTF-Fragments (Area Reclaim) (>3 in.) 40-72 in.","limitation"
"357","MIL - Trafficability Veh. Type 1 dry season","suitability"
"358","MIL - Trafficability Veh. Type 2 dry season","suitability"
"359","MIL - Trafficability Veh. Type 3 dry season","suitability"
"360","MIL - Trafficability Veh. Type 4 dry season","suitability"
"361","MIL - Trafficability Veh. Type 5 dry season","suitability"
"362","MIL - Trafficability Veh. Type 6 dry season","suitability"
"363","MIL - Trafficability Veh. Type 7 dry season","suitability"
"364","ENG - Topsoil (AR)","limitation"
"365","ENG - Dwellings without basements (AR)","limitation"
"366","RTF1-Slope <8 to >15%","limitation"
"367","RTF1-Flooding > None for >= 1 mo.","limitation"
"368","ENG - Lawns and landscaping (AR)","limitation"
"369","URB - Playgrounds (AR)","limitation"
"370","URB - Paths and Trails (AR)","limitation"
"371","URB - Picnic Areas (AR)","limitation"
"372","URB - Camp Areas (AR)","limitation"
"373","WLF - Grain and Seed Crops (for use as food and cover) (AR)","limitation"
"374","WMS - Pond Reservoir Area (AR)","limitation"
"375","WMS - Drainage (AR)","limitation"
"376","RTF-Fragments (2mm-3"") 0-40"" 50-75% passing","limitation"
"377","WMS - Irrigation (AR)","limitation"
"378","WMS - Terraces & Diversions (AR)","limitation"
"379","RTF-Erodibility factor 0-60cm <.20->.40","limitation"
"380","WMS - Grassed Waterways (AR)","limitation"
"381","WMS - Embankments, Dikes and Levees (AR)","limitation"
"382","AWM - Land Application of Manure & Food Proc. Waste (AR)","limitation"
"383","RTF-Adsorption Capacity, Clay Activity Ratio","limitation"
"384","RTF-Intake Rate (Hydrologic Group)","limitation"
"385","AWM - Land Application of Municipal Sewage Sludge (AR)","limitation"
"386","RTF-Adsorption Capacity, Clay Activity Ratio 0-50cm","limitation"
"387","AWM - Disposal of Wastewater by Irrigation (AR)","limitation"
"388","AWM - Treatment of Wastewater by Slow Rate Process (AR)","limitation"
"389","AWM - Treatment of Wastewater by Rapid Infiltration (AR)","limitation"
"390","FOR - Hand Planting Suitability (AR)","limitation"
"391","FOR - Mechanical Planting Suitability (AR)","limitation"
"392","FOR - Harvest Equipment Operability (AR)","limitation"
"393","RTF-Clay % Surface Layer (21->60%) (strength)","limitation"
"394","FOR - Mechanical Site Preparation (Surface) (AR)","limitation"
"395","FOR - Road Suitability (Natural Surface) (AR)","limitation"
"396","FOR - Potential Erosion Hazard (Road/Trail) (AR)","limitation"
"397","FOR - Potential Erosion Hazard (Off-Road/Off-Trail) (AR)","limitation"
"398","FOR - Soil Rutting Hazard (AR)","limitation"
"399","RTF-Texture, Surface (strength) (L,SIL,SICL,CL)","limitation"
"400","FOR - Log Landing Suitability (AR)","limitation"
"401","FOR - Potential Seedling Mortality (AR)","limitation"
"402","WLF - Domestic Grasses & Legumes (for food & cover) (AR)","limitation"
"403","WLF - Upland Wild Herbaceous Plants (AR)","limitation"
"404","WLF - Riparian Herbaceous Plants (AR)","limitation"
"405","RTF-Deep to Water (Depth to HWT > 3')","limitation"
"406","RTF-Wet, Ground Water Deep (>180cm) >72""","limitation"
"407","WLF - Upland Shrubs and Vines (AR)","limitation"
"408","WLF - Riparian Shrubs, Vines, & Trees (AR)","limitation"
"409","WLF - Upland Deciduous Trees (AR)","limitation"
"410","WLF - Upland Mixed Deciduous-Conifer Trees (AR)","limitation"
"411","WLF - Freshwater Wetland Plants (AR)","limitation"
"412","WLF - Irrigated Freshwater Wetland Plants (AR)","limitation"
"413","ENG - Gravel Source (AR)","limitation"
"414","ENG - Sanitary Landfill (Trench) (AR)","limitation"
"415","ENG - Daily Cover for Landfill (AR)","limitation"
"416","ENG - Sanitary Landfill (Area) (AR)","limitation"
"417","MO16-CRP Soil Groupings","limitation"
"418","MIL - Bivouac Areas","limitation"
"419","MIL - Helicopter Landing Zones","limitation"
"420","MIL - Excavations for Vehicle Fighting Positions","limitation"
"421","MIL - Excavations for Crew-Served Weapon Fighting Positions","limitation"
"422","MIL - Excavations for Individual Fighting Positions","limitation"
"423","ENG - Sand Source (AR)","limitation"
"424","IA - ENG - Septic Tank Absorption Fields","limitation"
"425","FOR - Hand Planting Suitability, MO13","limitation"
"426","ENG - Dwellings With Basements (OH)","limitation"
"427","ENG - Dwellings W/O Basements (OH)","limitation"
"428","ENG - Small Commercial Buildings (OH)","limitation"
"429","MO1-Drainage","limitation"
"430","MO1-Grassed Waterways","limitation"
"431","MO1-Irrigation","limitation"
"432","MO1-Terraces & Diversions","limitation"
"433","NP/REC - Camp Areas","limitation"
"434","NP/REC - Paths and Trails","limitation"
"435","NP/REC - Back Country Camp Areas","limitation"
"436","ENG (MI) - Construction Materials; Gravel Source tm","limitation"
"437","PRGM - General Crop Production Index (minus precip and AWC)","limitation"
"438","Surface Runoff Class (CA)","class"
"439","FOR - Road Limitations; Natural Surface (AK)","limitation"
"440","Animal Mortality Disposal (Catastrophic)","limitation"
"441","WLF - Domestic Grass and Legumes","limitation"
"442","Wildlife Upland Shrubs (AZ)","limitation"
"443","ENG - CP9 Larry(MO5)","limitation"
"444","Kansas Irrigated Potential Index","limitation"
"445","ENG - Small Commercial Buildings w/ gypsum","limitation"
"446","ENG - Local Roads and Streets w/ gypsum","limitation"
"447","ia-fsg groups (test)","limitation"
"448","ENG - Construction Materials - Gravel Source (MN)","suitability"
"449","KIPI","limitation"
"450","ENG - IAold-Shallow Excavations","limitation"
"451","WLFx - Grain and Seed Crops for Food and Cover","limitation"
"452","WLFx - Domestic Grasses and Legumes for Food and Cover","limitation"
"453","WLFx - Burrowing Mammals and Reptiles","limitation"
"454","WLFx - Upland Wild Herbaceous Plants","limitation"
"455","WLFx - Upland Deciduous Trees","limitation"
"456","WLFx - Upland Mixed Deciduous-Conifer Trees","limitation"
"457","WLFx - Riparian Herbaceous Plants","limitation"
"458","WLFx - Riparian Shrubs, Vines, and Trees","limitation"
"459","WLFx - Freshwater Wetland Plants","limitation"
"460","WLFx - Saline Water Wetland Plants","limitation"
"461","ENG - Construction Materials; Sand Source (GA)","suitability"
"462","ENG - Animal Mortality Disposal (Catastrophic) Trench","limitation"
"463","ENG - Construction Materials; Roadfill (GA)","suitability"
"464","ENG - Local Roads and Streets (GA)","limitation"
"465","ENG - Shallow Excavations (GA)","limitation"
"466","URB/REC - Camp Areas (GA)","limitation"
"467","URB/REC - Picnic Areas (GA)","limitation"
"468","URB/REC - Playgrounds (GA)","limitation"
"469","URB/REC - Paths and Trails (GA)","limitation"
"470","ENG - Construction Materials; Topsoil (GA)","suitability"
"471","WMS - Pond Reservoir Area (GA)","limitation"
"472","ENG - Local Roads and Streets (OH)","limitation"
"473","ENG - Shallow Excavations (OH)","limitation"
"474","ENG - Septic Tank Absorption Fields (OH)","limitation"
"475","VT Streambank Erosion Hazard2","limitation"
"476","PRGM - GCPI (Alpha Test)","suitability"
"477","UTIL T Factor Prototype Draft (MO6)","class"
"478","URB/REC - Camp Areas (OH)","limitation"
"479","URB/REC - Picnic Areas (OH)","limitation"
"480","URB/REC - Playgrounds (OH)","limitation"
"481","URB/REC - Paths and Trails (OH)","limitation"
"482","URB/REC - Off-Road Motorcycle Trails (OH)","limitation"
"483","URB/REC - Golf Fairways (OH)","limitation"
"484","WMS - Pond Reservoir Area (OH)","limitation"
"485","WMS - Excavated Ponds (Aquifer-fed) (OH)","limitation"
"486","AWM - Land Application of Municipal Sewage Sludge (OH)","limitation"
"487","AWM - Manure and Food Processing Waste (OH)","limitation"
"488","AWM - Irrigation Disposal of Wastewater (OH)","limitation"
"489","ENG: Sand Source (AL)","suitability"
"490","Residential foundations","limitation"
"491","ENG - Construction Materials; Gravel Source (OH)","suitability"
"492","ENG - Construction Materials; Gravel Source (CT)","suitability"
"493","ENG - Construction Materials; Gravel Source (12)","suitability"
"494","ENG - Construction Materials; Sand Source (OH)","suitability"
"495","MO18 ENG - Septic Tank Absorption Fields","limitation"
"496","MO15_TEST: Dwellings without basements (1)","limitation"
"497","ENG - Construction Materials; Reclamation (OH)","suitability"
"498","REC - Camp Areas (12)","limitation"
"499","REC - Picnic Areas (12)","limitation"
"500","REC - Playgrounds (12)","limitation"
"501","REC - Paths and Trails (12)","limitation"
"502","REC - Off-Road Motorcycle Trails (12)","limitation"
"503","ENG - Landscape, Lawns, Golf Fairways (12)","limitation"
"504","GRL - Pasture and Hayland SG (OH)","class"
"505","WMS - Constructing Grassed Waterways (OH)","limitation"
"506","GRL-FSG-NP-W (MT)","class"
"507","FOR - Construction Limitations for Haul Rds/Log Lnding, MO13","limitation"
"508","FOR - Log Landing Suitability, MO13","limitation"
"509","ENG - Sewage Lagoons (OH)","limitation"
"510","FOR - Potential Seedling Mortality, MO13","limitation"
"511","FOR - Mechanical Planting Suitability, MO13","limitation"
"512","ENG - Septic Tank Absorption Fields, PA Regs","limitation"
"513","WMS - Constructing Terraces and Diversions (OH)","limitation"
"514","WMS - Embankments, Dikes, and Levees (OH)","limitation"
